Matriz,Zona ,Lugar de Muestreo,Punto de Monitoreo,Barrido,Fecha,Hora,Altitud(msnm),latitud,longitud,Caudal (L/s),pH,Temperatura Ambiente (°C),Temperatura Muestra (°C),Oxígeno disueltomg O2/L,DQOmg O2/L,DBO5mg O2/L,Conductividad(25 °C)µs/cm,Fósforo Totalmg P/L,Nitrógeno Totalmg N/L,Nitrógeno Total Kjeldahlmg N/L,Nitratosmg NO3  N/L,Nitritosmg NO2  N/L,Grasas y Aceitesmg/L,Sólidos suspendidos Totales mg/L,Sólidos suspendidos volátiles mg/L,Sólidos Totalesmg/L,Turbidez NTU,Fenolesmg Fenol/L,Cromomg Cr /L,Cianuro mg CN/L,Mercuriomg Hg/L,Sulfurosmg S2/L ,Coliformes TotalesNMP/100 mL,Coliformes FecalesNMP/100 mL,ÍNDICE DE CALIDAD DE AGUA ICA,Tramo Acuerdo 39 de 2015,Longitud del tramo (Km)
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Flora,QLF-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,1009,"  7° 7'9.27""N"," 73° 6'17.28""W",13,7.73,22.4,22,5.46,55.7,12.7,411,0.76,2.3,-,3.16,-,14.4,16.8,10.0,476,11.4,-,-,-,-,-,140000,140000,0.35,QLF-B-01,1.893
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Cascada,QLC-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,947,"  7° 6'18.14""N"," 73° 6'18.88""W",76,7.86,22.4,21.6,5.16,40.1,25.3,399,1.2,2.1,-,6.4,-,7.3,21.8,< 10,480,5.64,-,-,-,-,-,540000,240000,0.32,QLC-B-01,0.402
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-03,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,846,"  7° 5'35.55""N"," 73° 7'9.84""W",1058,7.8,31.4,25.4,1.88,595.0,321,714,8.1,47.77,-,1.92,-,72.5,550,295.0,1184,292,-,-,-,-,-,16000000,9200000,0.15,QLI-B-03 /  QLI-B-03_QLI-B-02,6.556000000000001
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Macho,QM-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,827," 7° 5'30.18""N"," 73° 7'18.08""W",3.4,7.65,26.2,25.3,5.06,29.5,17,326,0.7,6,-,5.36,-,24.8,< 10,< 10,206,3.33,-,-,-,-,-,540000,240000,0.22,QMB-B-01,0.158
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Guacamaya,QG-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,845,"  7° 5'33.63""N"," 73° 7'23.76""W",8.7,7.65,26.2,24,4.17,75.4,30.7,431,1.0,6.2,-,0.871,-,15.4,13.4,< 10,280,6.9,-,-,-,-,-,1600000,350000,0.3,QG-B-01,0.083
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-02,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,743,"  7° 4'58.93""N"," 73° 9'8.89""W",976,7.9,29.7,25.2,4.27,236.0,87.1,687,4.2,35.78,-,0.641,-,79.4,192,108.0,548,99.6,-,-,-,-,-,9200000,2400000,0.24,QLI-B-03_QLI-B-02 /  QLI-B-02_QLI-G-01,6.853
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Carrasco,QC-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,758,"  7° 4'58.23""N"," 73° 9'9.33""W",15,8.41,29.2,27.2,0,6300.0,2917,15700,6.5,1091,-,10.5,-,22.7,567,220.0,8450,> 1000,0.8,0.215,-,< 0.5,-,160000000,160000000,0.15,QC-B-01,0.02
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-G-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,710,"  7° 4'45.36""N"," 73°10'11.15""W",2891,8.01,28.3,25.8,4.46,198.0,56.5,877,4.4,45.24,-,0.435,-,11.2,87.5,46.3,502,54.4,-,-,-,-,-,3500000,2400000,0.33,QLI-B-02_QLI-G-01,2.296
Red Calidad Agua,Escarpa,Quebrada Chimitá,QCA-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,689,"  7° 5'47.94""N"," 73° 9'56.19""W",1343,7.8,24.3,28.2,1.79,334.0,125,897,2.8,53.14,-,1.27,-,28.1,332,124.0,578,261,-,-,-,-,-,5400000,490000,0.16,QCA-B-01,0.778
Red Calidad Agua,Escarpa,Quebrada Cuyamita,QCY-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,673,"  7° 6'38.29""N"," 73° 9'39.13""W",44,7.87,30.2,22,3.67,84.0,40,734,2.8,27.16,-,0.859,-,10,173,40.0,508,43.9,-,-,-,-,-,3500000,490000,0.23,QCY-B-01,1.089
Red Calidad Agua,Escarpa,Quebrada Argelia,QA-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,669,"  7° 7'52.72""N"," 73° 9'18.44""W",52,8.05,24.6,21.5,4.96,39.2,13,566,2.8,14.9,-,5.31,-,< 6.3,13.6,< 10,304,6.65,-,-,-,-,-,350000,240000,0.34,QA-B-01,0.266
Red Calidad Agua,Escarpa,Quebrada Las Navas,QLN-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,650,"  7° 8'15.31""N"," 73° 9'11.20""W",240,7.78,28.3,25.3,2.88,384.0,244,1220,4.0,66.75,-,1.91,-,< 6.3,78,66.0,640,32.2,-,-,-,-,-,16000000,2800000,0.26,QLN-B-01,0.24
Red Calidad Agua,Escarpa,Quebrada Chapinero,QCH-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,657,"  7° 8'32.04""N"," 73° 9'5.63""W",346,7.76,30.1,24,3.87,193.0,81.2,928,3.6,32.14,-,0.617,-,< 6.3,61.3,40.0,519,30,-,-,-,-,-,2400000,270000,0.28,QCH-B-01,0.548
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,659,"  7° 8'55.76""N"," 73° 8'56.34""W",136,7.5,30.2,25,2.48,140.0,64,589,2.7,19.04,-,1.27,-,< 6.3,41,24.0,365,26.7,-,-,-,-,-,5400000,3500000,0.26,QLP-B-01,0.188
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Las Nieves,QN-G-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,713,"  7° 3'58.97""N"," 73°10'3.13""W",4,7.5,31.5,26.2,4.66,18.8,2.1,608,0.2,2.46,-,3.6,-,< 6.3,< 10,< 10,395,1.86,-,-,-,-,-,1700,1700,0.29,QN-G-01,0.053
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,779,"  7° 3'54.54""N"," 73° 7'10.46""W",173,7.9,21.6,23.7,5.95,23.7,9.5,321,0.6,1.85,-,3.05,-,< 6.3,< 10,< 10,220,4.15,-,-,-,-,-,230000,130000,0.25,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,819," 7° 3'28.82""N"," 73° 6'18.48""W",217,7.38,26.1,23.9,5.85,21.2,11.4,344,0.5,2.97,-,4.84,-,< 6.3,< 10,< 10,222,1.93,-,-,-,-,-,130000,130000,0.25,QAZ-F-02_QAZ-F-01,3.484
